壹零壹艾美琪旅店,101AMICI,大安區復興南路一段126巷1號4樓,"4F., No.1, Ln. 126, Sec. 1, Fuxing S. Rd., Da’an Dist.",02-27728101,36
城市商旅德立莊二館,Hotel Midtown Richardson Ⅱ,中正區衡陽路97號2樓、97之1號2樓、99號2樓、101號2樓、101號2樓之1、103號2樓、103號2樓之1、105號2樓、延平南路110號2-4樓,"2F, No. 97, No. 97-1, No. 99, No. 101, No. 103, No. 105,Hengyang Rd.；2F-1, No. 101, No. 103,Hengy",02-23703258,199
禾順行旅,Wholesome Hotel,萬華區廣州街247號及247號2至6樓,"1F-6F., No.247, Guangzhou St., Wanhua Dist.",02-23081000,98
九昱晴美,Jolley Hotel,中山區林森北路568號2至13樓，3樓之1、2、3、5、6至12樓之1、2、3、5、6，13樓之1,"2F-13F，3F-1、2、3、5、6~12F-1、2、3、5、6,13F-1.,No.568, Linsen N. Rd.,Zhongshan Dist.",02-66080807,62
百樂匯大飯店,BROAD WAY HOTEL,北投區溫泉路99號1-4樓,"1-4F., No.99, Wenquan Rd., Beitou Dist.",02-28928288,33
新秀閣大飯店,SINCERE HOTEL,北投區光明路238號1-5樓,"1-5F., No.238, Guangming Rd., Beitou Dist.",02-28912166,17
背包棧旅店-台北長春店,Backpackers-Hostels Taipei Changchan,中山區長春路258巷6號2樓,"2F., No.6, Ln. 258, Changchun Rd., Zhongshan Dist.",02-25180188,43
果芒驛站旅店,GOMAN STATION HOSTEL,中正區忠孝西路一段50號23樓之18,"23F.-18, No.50, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist.",02-23706808,2
君帥旅館,HAN SHE HOTEL,萬華區成都路68號8-10樓,"4-5F., No.68, Chengdu Rd., Wanhua District",02-23718812,35
長弘時尚旅店,Changhong Fashion Hotel,中山區長春路56號3至5樓　,"3-5F., No.56, Changchun Rd., Zhongshan Dist.",02-25420101,24
日光樂居,funstayinn,萬華區西寧南路72之1號5樓,"5F., No. 72-1, Xining S. Rd., Wanhua Dist.",02-23889978,27
鴨川旅館,GAWA HOTEL,中山區中山北路二段65巷2弄60號1-6樓,"No.60, Alley 2, Lane 65, Sec. 2, Jhongshan N. Rd., Jhongshan District",02-25603965,20
品格子旅店西門館,Inn Cube (Ximen),萬華區西寧南路30號8樓,"8F., No.30, Xining S. Rd., Wanhua Dist.",02-23618008,35
旅居文旅-松山驛站,Hub Hotel Songshan Inn,松山區八德路四段626號3樓,"3F., No.626, Sec. 4, Bade Rd., Songshan Dist.",02-27635889,18
錦棧商旅,GOLDINN,中山區林森北路413號2樓、7樓、7樓之14及錦州街46號7樓、48號7樓、46號13樓、48號13樓,"2F, 7F, 7F-14, No. 413, Linsen N. Rd.；7F, No. 48, 7F, No. 46, 13F, No. 46, 13F, No. 48, Jinzhou St.",02-77012121,92
皇家季節酒店1館,SEASONS HOTEL,大同區南京西路326號1樓、2樓、3樓、4樓、5樓，及8樓、9樓,"No.326, Nanjing W. Rd., Datong Dist.",02-25554288,48
大地清旅,HORIZON INN,中山區長安東路二段246號4至5樓,"4-5F., No.246, Sec. 2, Chang’an E. Rd., Zhongshan Dist.",02-27110102,36
儷夏旅館-西寧館,Lixia Hotel Xining Guan,萬華區西寧南路30號3樓、9樓,"3、9F., No.30, Xining S. Rd., Wanhua Dist.",02-23616999,31
緒遠旅館,Shuyuan Hotel,中山區錦州街20號3樓,"3F., No.20, Jinjhou St., Jhongshan District",02-25682005,8
安庭澔思青年旅舍,Easymind Guest House,大同區承德路一段66號12樓,"12F., No.66, Sec. 1, Chengde Rd., Datong Dist.",02-25526176,4
漢普頓酒店,HAMP COURT PALACE,中山區建國北路2段7號,"No.7, Sec. 2, Jianguo N. Rd., Zhongshan Dist.",02-25069696,121
苓旅站前,Lininn TMS,中正區忠孝西路一段72號4樓,"4F., No.72, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist.",02-23814755,35
楓?微笑會館,Maple&#39;s Smile,士林區菁山里菁山路131巷18之1號,"No.18-1, Ln. 131, Jingshan Rd., Shilin Dist.",02-28622145,5
仲信大湖商旅,The Koos Hotel Dahu,內湖區成功路四段351、353號1至4樓,"No.353, Sec. 4, Chenggong Rd., Neihu Dist.",02-27932122,27
米窩飯店-松山,Meworld Hotel-Songsha,信義區松山路153號2-7樓,"2-7F., No.153, Songshan Rd., Xinyi Dist.",02-27565659,33
丹迪旅店-天母店,Dandy Hotel - Tianmu Branch,士林區中山北路六段728巷2號1-7樓,"No.2, Ln. 728, Sec. 6, Zhongshan N. Rd., Shilin Dist.",02-28732222,54
鳳凰閣旅社,Phoenix-hotspring.taiwan,北投區溫泉路106之1號,"No.106-1, Wuncyuan Rd.,Beitou District",02-28912827,25
柯達大飯店台北二店,"K Hotels, Taipei 2",中山區中山北路二段139號,"No.139, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.",02-25255555,87
